omop_table,omop_column,omop_required,omop_type,mimic_table,mimic_column,mimic_type,comments
CONDITION_OCCURRENCE,condition_occurrence_id,Yes,integer      ,,,,
CONDITION_OCCURRENCE,person_id,Yes,integer      ,,,,
CONDITION_OCCURRENCE,condition_concept_id,Yes,integer      ,,,,
CONDITION_OCCURRENCE,condition_start_date,Yes,date         ,,,,
CONDITION_OCCURRENCE,condition_start_datetime,No,datetime     ,,,,
CONDITION_OCCURRENCE,condition_end_date,No,date         ,,,,
CONDITION_OCCURRENCE,condition_end_datetime,No,date         ,,,,
CONDITION_OCCURRENCE,condition_type_concept_id,Yes,integer      ,,,,
CONDITION_OCCURRENCE,stop_reason,No,varchar(20)  ,,,,
CONDITION_OCCURRENCE,provider_id,No,integer      ,,,,
CONDITION_OCCURRENCE,visit_occurrence_id,No,integer      ,,,,
CONDITION_OCCURRENCE,visit_detail_id,No,integer      ,,,,
CONDITION_OCCURRENCE,condition_source_value,No,varchar(50)  ,,,,
CONDITION_OCCURRENCE,condition_source_concept_id,No,integer      ,,,,
CONDITION_OCCURRENCE,condition_status_source_value,No,varchar(50)  ,,,,
CONDITION_OCCURRENCE,condition_status_concept_id,No,integer      ,,,,                                                                                                                               
