omop_table,omop_column,omop_required,omop_type,mimic_table,mimic_column,mimic_type,comments
DRUG_EXPOSURE,drug_exposure_id,Yes,integer,,,,
DRUG_EXPOSURE,person_id,Yes,integer,,,,
DRUG_EXPOSURE,drug_concept_id,Yes,integer,,,,
DRUG_EXPOSURE,drug_exposure_start_date,Yes,date,,,,
DRUG_EXPOSURE,drug_exposure_start_datetime,No,datetime,,,,
DRUG_EXPOSURE,drug_exposure_end_date,Yes,date,,,,
DRUG_EXPOSURE,drug_exposure_end_datetime,No,datetime,,,,
DRUG_EXPOSURE,verbatim_end_date,No,date,,,,
DRUG_EXPOSURE,drug_type_concept_id,Yes,integer,,,,
DRUG_EXPOSURE,stop_reason,No,varchar(20),,,,
DRUG_EXPOSURE,refills,No,integer,,,,
DRUG_EXPOSURE,quantity,No,float,,,,
DRUG_EXPOSURE,days_supply,No,integer,,,,
DRUG_EXPOSURE,sig,No,clob,,,,
DRUG_EXPOSURE,route_concept_id,No,integer,,,,
DRUG_EXPOSURE,lot_number,No,varchar(50),,,,
DRUG_EXPOSURE,provider_id,No,integer,,,,
DRUG_EXPOSURE,visit_occurrence_id,No,integer,,,,
DRUG_EXPOSURE,drug_source_value,No,varchar(50),,,,
DRUG_EXPOSURE,drug_source_concept_id,No,integer,,,,
DRUG_EXPOSURE,route_source_value,No,varchar(50),,,,
DRUG_EXPOSURE,dose_unit_source_value,No,varchar(50),,,,
DRUG_EXPOSURE,visit_detail_id,No,integer,,,,
