omop_table,omop_column,omop_required,omop_type,mimic_table,mimic_column,mimic_type,comments
MEASUREMENT,measurement_id,Yes,integer,,,,
MEASUREMENT,person_id,Yes,integer,,,,
MEASUREMENT,measurement_concept_id,Yes,integer,,,,
MEASUREMENT,measurement_date,Yes,date,,,,
MEASUREMENT,measurement_datetime,No,datetime,,,,
MEASUREMENT,measurement_type_concept_id,Yes,integer,,,,
MEASUREMENT,operator_concept_id,No,integer,,,,
MEASUREMENT,value_as_number,No,float,,,,
MEASUREMENT,value_as_concept_id,No,integer,,,,
MEASUREMENT,unit_concept_id,No,integer,,,,
MEASUREMENT,range_low,No,float,,,,
MEASUREMENT,range_high,No,float,,,,
MEASUREMENT,provider_id,No,integer,,,,
MEASUREMENT,visit_occurrence_id,No,integer,,,,
MEASUREMENT,visit_detail_id,No,integer,,,,
MEASUREMENT,measurement_source_value,No,varchar(50),,,,
MEASUREMENT,measurement_source_concept_id,No,integer,,,,
MEASUREMENT,unit_source_value,No,varchar(50),,,,
MEASUREMENT,value_source_value,No,varchar(50),,,,
