omop_table,omop_column,omop_required,omop_type,mimic_table,mimic_column,mimic_type,comments
NOTE,note_id,Yes,integer,,,,
NOTE,person_id,Yes,integer,,,,
NOTE,note_date,Yes,date,,,,
NOTE,note_datetime,No,datetime,,,,
NOTE,note_type_concept_id,Yes,integer,,,,
NOTE,note_class_concept_id,,,,,,
NOTE,note_title,No,,,,,
NOTE,note_text,Yes,RBDMS dependent text,,,,
NOTE,encoding_concept_id,Yes,integer,,,,
NOTE,language_concept_id,Yes,integer,,,,
NOTE,provider_id,No,integer,,,,
NOTE,note_source_value,No,varchar(50),,,,
NOTE,visit_occurrence_id,No,integer,,,,
