omop_table,omop_column,omop_required,omop_type,mimic_table,mimic_column,mimic_type,comments
NOTE_NLP,note_nlp_id,Yes,Big Integer ,,,,
NOTE_NLP,note_id,Yes,integer ,,,,
NOTE_NLP,section_concept_id,No,integer ,,,,
NOTE_NLP,snippet,No,varchar(250) ,,,,
NOTE_NLP,offset,No,varchar(50) ,,,,
NOTE_NLP,lexical_variant,Yes,varchar(250) ,,,,
NOTE_NLP,note_nlp_concept_id,No,integer ,,,,
NOTE_NLP,note_nlp_source_concept_id,no,integer ,,,,
NOTE_NLP,nlp_system,No,varchar(250) ,,,,
NOTE_NLP,nlp_date,Yes,date ,,,,
NOTE_NLP,nlp_datetime,No,datetime ,,,,
NOTE_NLP,term_exists,No,varchar(1) ,,,,
