category,count,label,nb,percent_avec_section
Case Management ,297,Current plan:,967,30.7135470527404
Case Management ,297,Patient discussed with multidisciplinary team:,967,30.7135470527404
Case Management ,296,Primary insurance:,967,30.6101344364012
Case Management ,296,Dialysis:,967,30.6101344364012
Case Management ,296,Medicaid application:,967,30.6101344364012
Case Management ,296,Secondary insurance:,967,30.6101344364012
Case Management ,296,Status:,967,30.6101344364012
Case Management ,296,Insurance reviewer:,967,30.6101344364012
Case Management ,245,Phone:,967,25.3360910031024
Discharge summary,13612,IMPRESSION:,59652,22.819016965064
Discharge summary,6662,DISCHARGE DIAGNOSES:,59652,11.168108361832
Discharge summary,5545,PAST MEDICAL HISTORY:,59652,9.29558103667941
Discharge summary,4914,DISCHARGE MEDICATIONS:,59652,8.23777911888956
Discharge summary,3738,REASON FOR THIS EXAMINATION:,59652,6.26634479983907
Discharge summary,2461,DISCHARGE DIAGNOSIS:,59652,4.12559511835311
Discharge summary,1852,MEDICATIONS ON DISCHARGE:,59652,3.10467377455911
Discharge summary,1850,MEDICATIONS ON ADMISSION:,59652,3.10132099510494
Discharge summary,1837,ADMISSION LABS:,59652,3.07952792865285
Discharge summary,1735,IMAGING:,59652,2.90853617649031
Discharge summary,1727,FINAL DIAGNOSIS:,59652,2.89512505867364
Discharge summary,1581,MEDICATIONS:,59652,2.65037215851941
Discharge summary,1497,HOSPITAL COURSE:,59652,2.50955542144438
Discharge summary,1418,PULSES:,59652,2.37712063300476
Discharge summary,1264,DISCHARGE LABS:,59652,2.11895661503386
Discharge summary,1165,PMH:,59652,1.95299403205257
Discharge summary,1101,FINDINGS:,59652,1.84570508951921
Discharge summary,919,MICRO:,59652,1.54060215918997
Discharge summary,859,PAST SURGICAL HISTORY:,59652,1.44001877556494
Discharge summary,848,COMMENTS:,59652,1.42157848856702
Discharge summary,811,MICROBIOLOGY:,59652,1.35955206866492
Discharge summary,805,CARE RECOMMENDATIONS:,59652,1.34949373030242
Discharge summary,799,PHYSICAL EXAM:,59652,1.33943539193992
Discharge summary,792,STUDIES:,59652,1.32770066385033
Discharge summary,767,DISCHARGE INSTRUCTIONS:,59652,1.28579092067324
Discharge summary,755,TRANSITIONAL ISSUES:,59652,1.26567424394823
Discharge summary,693,CXR:,59652,1.16173808086904
Discharge summary,618,DIAGNOSIS:,59652,1.03600885133776
Discharge summary,573,INTERPRETATION:,59652,0.96057131361899
Discharge summary,572,PSH:,59652,0.958894923891906
Discharge summary,571,ADMISSION PHYSICAL EXAM:,59652,0.957218534164823
Discharge summary,565,ADMISSION EXAM:,59652,0.94716019580232
Discharge summary,493,DISCHARGE EXAM:,59652,0.82646013545229
Discharge summary,426,FOLLOWING:,59652,0.714142023737679
Discharge summary,425,ADMISSION MEDICATIONS:,59652,0.712465634010595
Discharge summary,419,MEDICATIONS ON TRANSFER:,59652,0.702407295648092
Discharge summary,413,LABS:,59652,0.69234895728559
Discharge summary,412,MEASUREMENTS:,59652,0.690672567558506
Discharge summary,392,ADDENDUM:,59652,0.657144773016831
Discharge summary,391,CARE AND RECOMMENDATIONS:,59652,0.655468383289747
Discharge summary,382,PE:,59652,0.640380875745993
Discharge summary,372,ACTIVE ISSUES:,59652,0.623616978475156
Discharge summary,367,MEDICATIONS AT HOME:,59652,0.615235029839737
Discharge summary,353,DISCHARGE PHYSICAL EXAM:,59652,0.591765573660565
Discharge summary,352,ALLERGIES:,59652,0.590089183933481
Discharge summary,347,ROS:,59652,0.581707235298062
Discharge summary,336,PRIMARY:,59652,0.563266948300141
Discharge summary,332,ON ADMISSION:,59652,0.556561389391806
Discharge summary,330,HOSPITAL COURSE BY SYSTEM:,59652,0.553208609937638
Discharge summary,325,HOSPITAL COURSE BY SYSTEMS:,59652,0.54482666130222
Discharge summary,310,REGIONAL LEFT VENTRICULAR WALL MOTION:,59652,0.519680815395963
Discharge summary,309,SUMMARY OF HOSPITAL COURSE BY SYSTEMS:,59652,0.518004425668879
Discharge summary,285,ECHO:,59652,0.477771072218869
Discharge summary,283,HOME MEDICATIONS:,59652,0.474418292764702
Discharge summary,281,PHYSICAL EXAMINATION:,59652,0.471065513310534
Discharge summary,273,CBC:,59652,0.457654395493864
Discharge summary,269,CONTRAINDICATIONS FOR IV CONTRAST:,59652,0.450948836585529
Discharge summary,268,SECONDARY:,59652,0.449272446858446
Discharge summary,253,IMMUNIZATIONS RECOMMENDED:,59652,0.424126600952189
Discharge summary,249,CONCLUSION:,59652,0.417421042043854
Discharge summary,241,LABS ON ADMISSION:,59652,0.404009924227184
Discharge summary,228,EKG:,59652,0.382216857775096
Discharge summary,228,REVIEW OF SYSTEMS:,59652,0.382216857775096
Discharge summary,224,CHRONIC ISSUES:,59652,0.375511298866761
Discharge summary,222,SECONDARY DIAGNOSES:,59652,0.372158519412593
Discharge summary,215,NEURO:,59652,0.360423791323007
Discharge summary,202,ON DISCHARGE:,59652,0.338630724870918
Discharge summary,202,PROCEDURE:,59652,0.338630724870918
ECG,44467291,"",209051,21271.0252522112
Echo,45794,TEST INFORMATION:,45794,100
Echo,45794,INTERPRETATION:,45794,100
Echo,42996,LEFT VENTRICLE:,45794,93.8900292614753
Echo,41747,MITRAL VALVE:,45794,91.1625977202254
Echo,41228,AORTIC VALVE:,45794,90.0292614753024
Echo,41203,RIGHT VENTRICLE:,45794,89.9746691706337
Echo,40534,PERICARDIUM:,45794,88.5137790976984
Echo,39280,TRICUSPID VALVE:,45794,85.7754290955147
Echo,37112,LEFT ATRIUM:,45794,81.0411844346421
Echo,36295,AORTA:,45794,79.2571079180679
Echo,36123,INTERATRIAL SEPTUM:,45794,78.881512861947
Echo,29386,PULMONARY ARTERY:,45794,64.1699785998166
Echo,27137,GENERAL COMMENTS:,45794,59.2588548718173
Echo,15739,IMPRESSION:,45794,34.3691313272481
Echo,8686,LV WALL MOTION:,45794,18.9675503341049
Echo,3303,CLINICAL IMPLICATIONS:,45794,7.21273529283312
Echo,2356,BYPASS:,45794,5.14477879198148
Echo,1684,CPB:,45794,3.67733764248592
Echo,206,POST CPB:,45794,0.449840590470367
General,2182,Total time spent:,8301,26.2859896398024
General,861,Plan:,8301,10.3722443079147
General,858,Nutrition:,8301,10.3361040838453
General,754,Assessment:,8301,9.08324298277316
General,751,Neurologic:,8301,9.04710275870377
General,711,Allergies:,8301,8.56523310444525
General,675,Cardiovascular:,8301,8.13155041561258
General,654,Action:,8301,7.87856884712685
General,653,Response:,8301,7.86652210577039
General,647,Urine:,8301,7.79424165763161
General,646,Balance:,8301,7.78219491627515
General,644,Heart rhythm:,8301,7.75810143356222
General,643,Total out:,8301,7.74605469220576
General,643,Drains:,8301,7.74605469220576
General,643,Stool:,8301,7.74605469220576
General,642,Blood products:,8301,7.73400795084929
General,641,Communication:,8301,7.72196120949283
General,636,Prophylaxis:,8301,7.66172750271052
General,632,Other labs:,8301,7.61354053728466
General,622,Code status:,8301,7.49307312372003
General,617,Infusions:,8301,7.43283941693772
General,610,Stress ulcer:,8301,7.34851222744248
General,606,Tmax:,8301,7.30032526201662
General,606,Comments:,8301,7.30032526201662
General,604,Lines:,8301,7.2762317793037
General,602,Disposition:,8301,7.25213829659077
General,558,Other medications:,8301,6.7220816769064
General,492,Imaging:,8301,5.92699674737983
General,468,Height:,8301,5.63787495482472
General,418,Skin:,8301,5.03553788700157
General,364,Total time:,8301,4.38501385375256
General,363,Tcurrent:,8301,4.3729671123961
General,360,Abdominal:,8301,4.33682688832671
General,340,Review of systems:,8301,4.09589206119745
General,316,Ventilator mode:,8301,3.80677026864233
General,309,Ve:,8301,3.72244307914709
General,308,Endocrine:,8301,3.71039633779063
General,297,Changes to medical and family history:,8301,3.57788218286953
General,293,Renal:,8301,3.52969521744368
General,284,Pulmonary:,8301,3.42127454523551
General,282,Tube feeding:,8301,3.39718106252259
General,282,Current medications:,8301,3.39718106252259
General,281,Ext:,8301,3.38513432116612
General,270,Consults:,8301,3.25262016624503
General,269,Wounds:,8301,3.24057342488857
General,269,Hematology:,8301,3.24057342488857
General,243,T current:,8301,2.92735814962053
General,234,Abd:,8301,2.81893747741236
General,226,Gen:,8301,2.72256354656066
General,216,Labs:,8301,2.60209613299602
Nursing,505489,Assessment:,223556,226.112920252644
Nursing,504375,Plan:,223556,225.614611104153
Nursing,504254,Response:,223556,225.560485963249
Nursing,502544,Action:,223556,224.795576947163
Nursing,31354,PMH:,223556,14.025121222423
Nursing,24079,BP:,223556,10.7709030399542
Nursing,22526,S:,223556,10.0762225124801
Nursing,22497,weight:,223556,10.0632503712716
Nursing,22459,D:,223556,10.0462523931364
Nursing,22149,valuables:,223556,9.90758467677003
Nursing,19433,with:,223556,8.692676555315
Nursing,19430,Glucose:,223556,8.69133460967275
Nursing,18287,]:,223556,8.18005331997352
Nursing,12268,rate:,223556,5.48766304639553
Nursing,12031,status:,223556,5.38164934065737
Nursing,11802,history:,223556,5.27921415663189
Nursing,11672,Precautions:,223556,5.22106317880084
Nursing,11362,HPI:,223556,5.08239546243447
Nursing,11337,from:,223556,5.07121258208234
Nursing,11284,to:,223556,5.04750487573583
Nursing,11257,diagnosis:,223556,5.03542736495554
Nursing,11255,Temperature:,223556,5.03453273452737
Nursing,11251,out:,223556,5.03274347367103
Nursing,11250,MD:,223556,5.03229615845694
Nursing,11249,Height:,223556,5.03184884324286
Nursing,11246,rhythm:,223556,5.0305068976006
Nursing,11246,in:,223556,5.0305068976006
Nursing,11245,Reactions:,223556,5.03005958238652
Nursing,11242,Rate:,223556,5.02871763674426
Nursing,11241,Transfer:,223556,5.02827032153018
Nursing,11238,device:,223556,5.02692837588792
Nursing,11236,saturation:,223556,5.02603374545975
Nursing,11236,date:,223556,5.02603374545975
Nursing,11232,flow:,223556,5.02424448460341
Nursing,11231,set:,223556,5.02379716938933
Nursing,11203,Creatinine:,223556,5.01127234339494
Nursing,11194,Results:,223556,5.00724650646818
Nursing,11155,BUN:,223556,4.98980121311886
Nursing,11064,Clothes:,223556,4.94909552863712
Nursing,11016,Jewelry:,223556,4.92762439836104
Nursing,10924,Potassium:,223556,4.88647139866521
Nursing,10911,Sodium:,223556,4.88065630088211
Nursing,10909,Hematocrit:,223556,4.87976167045394
Nursing,10898,Chloride:,223556,4.874841203099
Nursing,10652,Money:,223556,4.76480166043407
