omop_table,omop_column,mimic_table,mimic_column,comments
SPECIMEN,specimen_id,,,
SPECIMEN,person_id,,,
SPECIMEN,specimen_concept_id,,,
SPECIMEN,specimen_type_concept_id,,,
SPECIMEN,specimen_date,,,
SPECIMEN,specimen_datetime,,,
SPECIMEN,quantity,,,
SPECIMEN,unit_concept_id,,,
SPECIMEN,anatomic_site_concept_id,,,
SPECIMEN,disease_status_concept_id,,,
SPECIMEN,specimen_source_id,,,
SPECIMEN,specimen_source_value,,,
SPECIMEN,unit_source_value,,,
SPECIMEN,anatomic_site_source_value,,,
SPECIMEN,disease_status_source_value,,,
