"omop_table","omop_column","omop_required","omop_type","mimic_table","mimic_column","mimic_type","comments"
"VISIT_DETAIL","visit_detail_id","Yes","integer","transfers","icustay_id",,"to ease the process, take icustay_id, when null, max(icustay_id)+transfers.row_id → then all icustay_id in all tables are still used"
"VISIT_DETAIL","person_id","Yes","integer","transfers","subject_id",,
"VISIT_DETAIL","visit_detail_concept_id","Yes","integer",,,,
"VISIT_DETAIL","visit_start_date","Yes","date","transfers","intime::date",,
"VISIT_DETAIL","visit_start_datetime","No","datetime","transfers","intime",,
"VISIT_DETAIL","visit_end_date","Yes","date","transfers","outtime::date",,
"VISIT_DETAIL","visit_end_datetime","No","datetime","transfers","outtime",,
"VISIT_DETAIL","visit_type_concept_id","Yes","Integer",,,,
"VISIT_DETAIL","provider_id","No","integer",,,,
"VISIT_DETAIL","care_site_id","No","integer","transfers","curr_wardid",,"? not sure with admitting/visit source"
"VISIT_DETAIL","visit_source_value","No","string(50)",,,,
"VISIT_DETAIL","visit_source_concept_id","No","Integer",,,,
"VISIT_DETAIL","admitting_source_value",,"Varchar",,,,
"VISIT_DETAIL","admitting_source_concept_id","No","Integer",,,,
"VISIT_DETAIL","discharge_to_source_value",,"Varchar","transfers","eventtype",,
"VISIT_DETAIL","discharge_to_concept_id","No","Integer",,,,
"VISIT_DETAIL","preceding_visit_detail_id",,"Integer",,,,"transform: window function to get last"
"VISIT_DETAIL","visit_detail_parent_id",,"Integer",,,,"no need: no nested stays"
"VISIT_DETAIL","visit_occurrence_id","Yes","Integer","transfers","hadm_id",,
