omop_table,omop_column,omop_required,omop_type,mimic_table,mimic_column,mimic_type,comments
COST,cost_id,Yes,integer,,,,
COST,cost_event_id,Yes,integer,,,,
COST,cost_domain_id,Yes,string(20),,,,
COST,cost_type_concept_id,Yes,integer,,,,
COST,currency_concept_id,No,integer,,,,
COST,total_charge,No,float,,,,
COST,total_cost,No,float,,,,
COST,total_paid,No,float,,,,
COST,paid_by_payer,No,float,,,,
COST,paid_by_patient,No,float,,,,
COST,paid_patient_copay,No,float,,,,
COST,paid_patient_coinsurance,No,float,,,,
COST,paid_patient_deductible,No,float,,,,
COST,paid_by_primary,No,float,,,,
COST,paid_ingredient_cost,No,float,,,,
COST,paid_dispensing_fee,No,float,,,,
COST,payer_plan_period_id,No,integer,,,,
COST,amount_allowed,No,float,,,,
COST,revenue_code_concept_id,No,integer,,,,
COST,revenue_code_source_value,No,string(50),,,,
COST,drg_concept_id,,,,,,
COST,drg_source_value,,,,,,
|Drug|DRUG_EXPOSURE|
|Visit|VISIT_OCCURRENCE|
|Procedure|PROCEDURE_OCCURRENCE|
|Device|DEVICE_EXPOSURE|
|Measurement|MEASUREMENT|
|Observation|OBSERVATION|
|Specimen|SPECIMEN|
