omop_table,omop_column,omop_required,omop_type,mimic_table,mimic_column,mimic_type,comments
CDM_SOURCE,cdm_source_name,Yes,varchar(255),,,,
CDM_SOURCE,cdm_source_abbreviation,No,varchar(25),,,,
CDM_SOURCE,cdm_holder,No,varchar(255),,,,
CDM_SOURCE,source_description,No,CLOB,,,,
CDM_SOURCE,source_documentation_reference,No,varchar(255),,,,
CDM_SOURCE,cdm_etl_reference,No,varchar(255),,,,
CDM_SOURCE,source_release_date,No,date,,,,
CDM_SOURCE,cdm_release_date,No,date,,,,
CDM_SOURCE,cdm_version,No,varchar(10),,,,
CDM_SOURCE,vocabulary_version,No,varchar(20),,,,
