omop_table,omop_column,mimic_table,mimic_column,comments
CONCEPT_CLASS,concept_class_id,,,
CONCEPT_CLASS,concept_class_name,,,
CONCEPT_CLASS,concept_class_concept_id,,,
|Administrative concept|Admin Concept|
|Admitting Source|Admitting Source|
|Anatomical Therapeutic Chemical Classification|ATC|
|Anatomical Therapeutic Chemical Classification|ATC|
|APC|Procedure|
|Attribute|Attribute|
|Biobank Flag|Biobank Flag|
|Biological function|Biological Function|
|Body structure|Body Structure|
|Brand Name|Brand Name|
|Branded Drug|Branded Drug|
|Branded Drug Component|Branded Drug Comp|
|Branded Drug Form|Branded Drug Form|
|Branded Pack|Branded Pack|
|CCS_DIAGNOSIS|Condition|
|CCS_PROCEDURES|Procedure|
|Chart Availability|Chart Availability|
|Chemical Structure|Chemical Structure|
|Clinical Drug|Clinical Drug|
|Clinical Drug Component|Clinical Drug Comp|
|Clinical Drug Form|Clinical Drug Form|
|Clinical finding|Clinical Finding|
|Clinical Pack|Clinical Pack|
|Concept Relationship|Concept Relationship|
|Condition Occurrence Type|Condition Occur Type|
|Context-dependent category|Context-dependent|
|CPT-4|Procedure|
|Currency|Currency|
|Death Type|Death Type|
|Device Type|Device Type|
|Discharge Disposition|Discharge Dispo|
|Discharge Status|Discharge Status|
|Domain|Domain|
|Dose Form|Dose Form|
|DRG|Diagnostic Category|
|Drug Exposure Type|Drug Exposure Type|
|Drug Interaction|Drug Interaction|
|Encounter Type|Encounter Type|
|Enhanced Therapeutic Classification|ETC|
|Enrollment Basis|Enrollment Basis|
|Environment or geographical location|Location|
|Ethnicity|Ethnicity|
|Event|Event|
|Gender|Gender|
|HCPCS|Procedure|
|Health Care Provider Specialty|Provider Specialty|
|HES specialty|Provider Specialty|
|High Level Group Term|HLGT|
|High Level Term|HLT|
|Hispanic|Hispanic|
|ICD-9-Procedure|Procedure|
|Indication or Contra-indication|Ind / CI|
|Ingredient|Ingredient|
|LOINC Code|Measurement|
|LOINC Multidimensional Classification|Meas Class|
|Lowest Level Term|LLT|
|MDC|Diagnostic Category|
|Measurement Type|Meas Type|
|Mechanism of Action|Mechanism of Action|
|Model component|Model Comp|
|Morphologic abnormality|Morph Abnormality|
|MS-DRG|Diagnostic Category|
|Namespace concept|Namespace Concept|
|Note Type|Note Type|
|Observable entity|Observable Entity|
|Observation Period Type|Obs Period Type|
|Observation Type|Observation Type|
|OMOP DOI cohort|Drug Cohort|
|OMOP HOI cohort|Condition Cohort|
|OPCS-4|Procedure|
|Organism|Organism|
|Patient Status|Patient Status|
|Pharmaceutical / biologic product|Pharma/Biol Product|
|Pharmaceutical Preparations|Pharma Preparation|
|Pharmacokinetics|PK|
|Pharmacologic Class|Pharmacologic Class|
|Physical force|Physical Force|
|Physical object|Physical Object|
|Physiologic Effect|Physiologic Effect|
|Place of Service|Place of Service|
|Preferred Term|PT|
|Procedure|Procedure|
|Procedure Occurrence Type|Procedure Occur Type|
|Qualifier value|Qualifier Value|
|Race|Race|
|Record artifact|Record Artifact|
|Revenue Code|Revenue Code|
|Sex|Gender|
|Social context|Social Context|
|Special concept|Special Concept|
|Specimen|Specimen|
|Staging and scales|Staging / Scales|
|Standardized MedDRA Query|SMQ|
|Substance|Substance|
|System Organ Class|SOC|
|Therapeutic Class|Therapeutic Class|
|UCUM|Unit|
|UCUM Canonical|Canonical Unit|
|UCUM Custom|Unit|
|UCUM Standard|Unit|
|Undefined|Undefined|
|UNKNOWN|Undefined|
|VA Class|Drug Class|
|VA Drug Interaction|Drug Interaction|
|VA Product|Drug Product|
|Visit|Visit|
|Visit Type|Visit Type|
