care_site_type,care_site_name,place_of_service_source_value,place_of_service_concept_id,visit_detail_concept_id
ward,CCU,Coronary care unit,4149943,32037
ward,CSRU,Cardiac surgery recovery unit,4138949,32037
ward,MICU,Medical intensive care unit,40481392,32037
ward,NICU,Neonatal intensive care unit,4231410,32037
ward,SICU,Surgical intensive care unit,4305366,32037
ward,TSICU,Trauma/surgical intensive care unit,4305366,32037
ward,NWARD,Neonatal ward,4160140,9201
ward,EMERGENCY ward #?,Emergency Room Critical Care Facility,4021520,9203
ward,UNKNOWN,Unknown Ward,,9201
service,CMED,Cardiac Medical - for non-surgical cardiac related admissions,45765807,45763735
service,CSURG,Cardiac Surgery - for surgical cardiac admissions,45765807,4149152
service,DENT,Dental - for dental/jaw related admissions,40489497,4149152
service,ENT,"Ear, nose, and throat - conditions primarily affecting these areas",45765823,4149152
service,GU,Genitourinary - reproductive organs/urinary system,45765830,4149152
service,GYN,Gynecological - female reproductive systems and breasts,45765805,4149152
service,MED,Medical - general service for internal medicine,45765841,45763735
service,NB,Newborn - infants born at the hospital,4192653,4237225
service,NBB,Newborn baby - infants born at the hospital,4192653,4237225
service,NMED,"Neurologic Medical - non-surgical, relating to the brain",45773131,45763735
service,NSURG,"Neurologic Surgical - surgical, relating to the brain",45773132,4149152
service,OBS,Obstetrics - conerned with childbirth and the care of women giving birth,45765852,4149152
service,ORTHO,"Orthopaedic - surgical, relating to the musculoskeletal system",45765884,4149152
service,OMED,"Orthopaedic medicine - non-surgical, relating to musculoskeletal system",45765884,45763735
service,PSURG,Plastic - restortation/reconstruction of the human body (including cosmetic or aesthetic),45765882,4149152
service,PSYCH,"Psychiatric - mental disorders relating to mood, behaviour, cognition, or perceptions",45765869,4150859
service,SURG,Surgical - general surgical service not classified elsewhere,45765829,4149152
service,TRAUM,Trauma - injury or damage caused by physical harm from an external source,4263098,4149152
service,TSURG,"Thoracic Surgical - surgery on the thorax, located between the neck and the abdomen",,4149152
service,VSURG,Vascular Surgical - surgery relating to the circulatory system,4087906,4149152
hospital,BIDMC,Beth Israel Deaconess Medical Center,4318944,
