d_label,label_type,value_lb,value_ub,measurement_concept_id,measurement_type_concept_id,unit_concept_id
Code Status,resuscitation,,,4127294,44818701,8510
Bowel Sounds,sounds,,,4337265,44818701,8510
Pain Management,pain,,,4192791,44818701,8510
Pain Assess Method,pain,,,4021323,44818701,8510
Pain Assessment Method,pain,,,4021323,44818701,8510
Eye Opening,gcs,,,3016335,44818701,8510
GCS - Eye Opening,gcs,,,3016335,44818701,8510
Verbal Response,gcs,,,3009094,44818701,8510
GCS - Verbal Response,gcs,,,3009094,44818701,8510
Motor Response,gcs,,,3008223,44818701,8510
GCS - Motor Response,gcs,,,3008223,44818701,8510
GCS Total,gcs,,,3032652,44818701,8510
Pain Present,pain_level,,,40757693,44818701,8510
Currently experiencing pain,pain_level,,,40757693,44818701,8510
Pain Level (Rest),pain_level,,,3034263,44818701,8510
Pain Level,pain_level,,,3034263,44818701,8510
Pain Level Response,pain_level,,,3034263,44818701,8510
Pain Level/Response,pain_level,,,3034263,44818701,8510
Riker-SAS Scale,sas_rass,,,21494989,44818701,8510
Richmond-RAS Scale,sas_rass,,,21494989,44818701,8510
Admit Wt,height_weight,,,3025315,44818701,9529
Previous WeightF,height_weight,,,3025315,44818701,9529
Birth Weight    (kg),height_weight,,,3025315,44818701,9529
Present Weight  (kg),height_weight,,,3025315,44818701,9529
Previous Weight (kg),height_weight,,,3025315,44818701,9529
Previous Weight,height_weight,,,3025315,44818701,9529
Weight Kg,height_weight,,,3025315,44818701,9529
Admission Weight (lbs.),height_weight,,,3025315,44818701,9529
Admission Weight (Kg),height_weight,,,3025315,44818701,9529
Admission Weight (lbs.),height_weight,,,3025315,44818701,9529
Height Inches,height_weight,,,3036277,44818701,9546
Admit Ht,height_weight,,,3036277,44818701,9546
Height,height_weight,,,3036277,44818701,9546
Heart Rhythm,heart_rhythm,,,3022318,44818701,8510
Respiratory Rate,respiratory_rate,0,100,3024171,44818701,8541
Respiratory Rate (spontaneous),respiratory_rate,0,100,3024171,44818701,8541
Respiratory Rate (Total),respiratory_rate,0,100,3024171,44818701,8541
Resp Rate,respiratory_rate,0,100,3024171,44818701,8541
Resp Rate (Total),respiratory_rate,0,100,3024171,44818701,8541
Resp Rate (Spont),respiratory_rate,0,100,3024171,44818701,8541
Breath Rate,respiratory_rate,0,100,3024171,44818701,8541
Spont. Resp. Rate,respiratory_rate,0,100,3024171,44818701,8541
Spont Resp rate,respiratory_rate,0,100,3024171,44818701,8541
Spont RR,respiratory_rate,0,100,3024171,44818701,8541
FIO2,fio2,0,100,3020716,44818701,8554
FiO2 Set,fio2,0,100,3020716,44818701,8554
FIO2 [Meas],fio2,0,100,3020716,44818701,8554
FiO2 (Analyzed),fio2,0,100,3020716,44818701,8554
Vision FiO2,fio2,0,100,3020716,44818701,8554
FiO2/O2 Delivered,fio2,0,100,3020716,44818701,8554
Inspired O2 Fraction,fio2,0,100,3020716,44818701,8554
HFO- FIO2,fio2,0,100,3020716,44818701,8554
HFO-FiO2,fio2,0,100,3020716,44818701,8554
ecmo fio2,fio2,0,100,3020716,44818701,8554
FiO2ApacheIIValue,fio2,0,100,3020716,44818701,8554
Analyzed INOV FiO2,fio2,0,100,3020716,44818701,8554
FiO2_ApacheIV,fio2,0,100,3020716,44818701,8554
HFO FIO2:,fio2,0,100,3020716,44818701,8554
FiO2,fio2,0,100,3020716,44818701,8554
BIpap FIO2,fio2,0,100,3020716,44818701,8554
FIO2 SET,fio2,0,100,3020716,44818701,8554
vapotherm fio2,fio2,0,100,3020716,44818701,8554
O2 Flow (lpm),o2flow,0,100,3014080,44818701,8698
O2 Flow,o2flow,0,100,3014080,44818701,8698
O2 Flow (lpm) #2,o2flow,0,100,3014080,44818701,8698
O2 Flow (additional cannula),o2flow,0,100,3014080,44818701,8698
Additional Gas (lpm),o2flow,0,100,3014080,44818701,8698
BIPAP - O2 lpm,o2flow,0,100,3014080,44818701,8698
BiPap O2 Flow,o2flow,0,100,3014080,44818701,8698
Flow-By (lpm),o2flow,0,100,3014080,44818701,8698
Pulmonary Artery Pressure diastolic,hemodynamic,0,120,3017188,44818701,8876
Pulmonary Artery Pressure systolic,hemodynamic,0,120,3005606,44818701,8876
Pulmonary Artery Pressure mean,hemodynamic,0,120,3028074,44818701,8876
PAP [Systolic],hemodynamic,0,120,3005606,44818701,8876
PAP [Diastolic],hemodynamic,0,120,3017188,44818701,8876
PAP Mean,hemodynamic,0,120,3028074,44818701,8876
CO-Tandem Heart Flow,hemodynamic,0,20,3005555,44818701,8698
CO (Arterial),hemodynamic,0,20,3005555,44818701,8698
CO (PiCCO),hemodynamic,0,20,3005555,44818701,8698
Cardiac Output (CO NICOM),hemodynamic,0,20,3005555,44818701,8698
CCO CO,hemodynamic,0,20,3005555,44818701,8698
Cardiac Output (CCO),hemodynamic,0,20,3005555,44818701,8698
Cardiac Output (thermodilution),hemodynamic,0,20,3005555,44818701,8698
C.O. (fick),hemodynamic,0,20,3005555,44818701,8698
C.O.(thermodilution),hemodynamic,0,20,3005555,44818701,8698
Cardiac Index,hemodynamic,0,20,21490712,44818701,2000000002
Cardiac Index (CI NICOM),hemodynamic,0,20,21490712,44818701,2000000002
CI (PiCCO),hemodynamic,0,20,21490712,44818701,2000000002
SVV (PiCCO),hemodynamic,0,50,2000000000,44818701,8554
Stroke Volume Variation (SVV NICOM),hemodynamic,0,50,2000000000,44818701,8554
SVV (Arterial),hemodynamic,0,50,2000000000,44818701,8554
SVR,hemodynamic,0,5000,3035146,44818701,4079131
SVRI,hemodynamic,0,5000,3008047,44818701,2000000001
SVRI (PiCCO),hemodynamic,0,5000,3008047,44818701,2000000001
Central Venous Pressure,hemodynamic,0,50,21490675,44818701,8876
CVP,hemodynamic,0,50,21490675,44818701,8876
PCWP,hemodynamic,0,50,21490776,44818701,8876
Minute Volume,vent_settings,2,30,21490753,44818701,8698
Minute Volume(Obser),vent_settings,2,30,21490753,44818701,8698
PEEP set,vent_settings,3,25,3016226,44818701,44777590
PEEP Set,vent_settings,3,25,3016226,44818701,44777590
PEEP,vent_settings,3,25,3016226,44818701,44777590
Total PEEP Level,vent_settings,3,25,3016226,44818701,44777590
Peak Insp. Pressure,vent_settings,3,60,21490650,44818701,44777590
PIP,vent_settings,3,60,21490650,44818701,44777590
Mean Airway Pressure,vent_settings,3,60,3028354,44818701,44777590
Arterial BP [Diastolic],diastolic_bp,10,300,3012888,44818701,8876
Arterial Blood Pressure diastolic,diastolic_bp,10,300,3012888,44818701,8876
ART BP Diastolic,diastolic_bp,10,300,3012888,44818701,8876
Arterial BP #2 [Diastolic],diastolic_bp,10,300,3012888,44818701,8876
NBP [Diastolic],diastolic_bp,10,300,3012888,44818701,8876
BP UAC [Diastolic],diastolic_bp,10,300,3012888,44818701,8876
BP PAL [Diastolic],diastolic_bp,10,300,3012888,44818701,8876
Manual BP [Diastolic],diastolic_bp,10,300,3012888,44818701,8876
BP Left Arm [Diastolic],diastolic_bp,10,300,3012888,44818701,8876
BP Left Leg [Diastolic],diastolic_bp,10,300,3012888,44818701,8876
BP Right Leg [Diastolic],diastolic_bp,10,300,3012888,44818701,8876
BP Right Arm [Diastolic],diastolic_bp,10,300,3012888,44818701,8876
ABP [Diastolic],diastolic_bp,10,300,3012888,44818701,8876
Non Invasive Blood Pressure diastolic,diastolic_bp,10,300,3012888,44818701,8876
Manual Blood Pressure Diastolic Left,diastolic_bp,10,300,3012888,44818701,8876
Manual Blood Pressure Diastolic Right,diastolic_bp,10,300,3012888,44818701,8876
BP Cuff [Diastolic],diastolic_bp,10,300,3012888,44818701,8876
Arterial BP Mean,map_bp,10,400,3027598,44818701,8876
Arterial Blood Pressure mean,map_bp,10,400,3027598,44818701,8876
ART BP mean,map_bp,10,400,3027598,44818701,8876
Arterial BP Mean #2,map_bp,10,400,3027598,44818701,8876
FEM ART MEAN,map_bp,10,400,3027598,44818701,8876
FEM ART S/D,map_bp,10,400,3027598,44818701,8876
FEM ART BP,map_bp,10,400,3027598,44818701,8876
R FEM ART LINE,map_bp,10,400,3027598,44818701,8876
femoral ART Line,map_bp,10,400,3027598,44818701,8876
FEM ART MAP,map_bp,10,400,3027598,44818701,8876
ART,map_bp,10,400,3027598,44818701,8876
left femerol artery,map_bp,10,400,3027598,44818701,8876
FEM. ART BP,map_bp,10,400,3027598,44818701,8876
L FEM ART LINE,map_bp,10,400,3027598,44818701,8876
RT FEM ART LINE,map_bp,10,400,3027598,44818701,8876
R fem Art line,map_bp,10,400,3027598,44818701,8876
RAD ART BP,map_bp,10,400,3027598,44818701,8876
R fem art BP,map_bp,10,400,3027598,44818701,8876
fem art,map_bp,10,400,3027598,44818701,8876
ART BP,map_bp,10,400,3027598,44818701,8876
RT FEMORAL ART BP,map_bp,10,400,3027598,44818701,8876
ART MEAN,map_bp,10,400,3027598,44818701,8876
L rad art BP,map_bp,10,400,3027598,44818701,8876
ART MAP,map_bp,10,400,3027598,44818701,8876
L fem art bp,map_bp,10,400,3027598,44818701,8876
L fem art line,map_bp,10,400,3027598,44818701,8876
art #3,map_bp,10,400,3027598,44818701,8876
Arterial BP #3,map_bp,10,400,3027598,44818701,8876
Arterial Mean #3,map_bp,10,400,3027598,44818701,8876
R fem art line,map_bp,10,400,3027598,44818701,8876
FEM ART,map_bp,10,400,3027598,44818701,8876
(R) FEM ART,map_bp,10,400,3027598,44818701,8876
rt art line,map_bp,10,400,3027598,44818701,8876
ART R Groin,map_bp,10,400,3027598,44818701,8876
