description,observation_source_concept_id,observation_source_concept_name,observation_concept_id,concept_name
Abdominal Pain,0,,200219,"Abdominal pain"
"ABORTION W D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY",0,,38001490,"Abortion w D&C, aspiration curettage or hysterotomy"
"ABORTION WITH DILATION & CURETTAGE, ASPIRATION CURETTAGE OR HYSTEROTOMY",38000679,"Abortion with Dilation and Curettage, Aspiration Curettage or Hysterotomy",,
ABORTION WITHOUT DILATION & CURETTAGE,38000678,Abortion without Dilation and Curettage,,
ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,38000724,Acute Adjustment Reaction and Psychosocial Dysfunction,38001567,Acute adjustment reaction & psychosocial dysfunction
Acute Anxiety & Delirium States,0,,0,
ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT,38000866,Acute Ischemic Stroke with Use of Thrombolytic Agent,38000936,Acute ischemic stroke w use of thrombolytic agent w/o CC/MCC
ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,0,,38000935,Acute ischemic stroke w use of thrombolytic agent w CC
ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W MCC,0,,38000934,Acute ischemic stroke w use of thrombolytic agent w MCC
ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,0,,38000936,Acute ischemic stroke w use of thrombolytic agent w/o CC/MCC
Acute Leukemia,0,,138708,"Acute leukemia"
ACUTE LEUKEMIA WITHOUT MAJOR OPERATING ROOM PROCEDURE AGE >17,38000771,Acute Leukemia without Major Operating Room Procedure Age >17,,
ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,0,,38001534,Acute leukemia w/o major O.R. procedure w CC
ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W MCC,0,,38001533,Acute leukemia w/o major O.R. procedure w MCC
ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,0,,38001535,Acute leukemia w/o major O.R. procedure w/o CC/MCC
Acute Major Eye Infections,0,,38000332,"Acute Major Eye Infections"
Acute Myocardial Infarction,0,,312327,"Acute myocardial infarction"
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",0,,38001109,"Acute myocardial infarction, discharged alive w CC"
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",0,,38001108,"Acute myocardial infarction, discharged alive w MCC"
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",0,,38001110,"Acute myocardial infarction, discharged alive w/o CC/MCC"
"ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC",0,,38001112,"Acute myocardial infarction, expired w CC"
"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC",0,,38001111,"Acute myocardial infarction, expired w MCC"
"ACUTE MYOCARDIAL INFARCTION, EXPIRED W/O CC/MCC",0,,38001113,"Acute myocardial infarction, expired w/o CC/MCC"
Acute & Subacute Endocarditis,0,,4108805,"Acute and subacute endocarditis"
ACUTE & SUBACUTE ENDOCARDITIS,38000424,Acute and Subacute Endocarditis,38001118,Acute & subacute endocarditis w/o CC/MCC
ACUTE & SUBACUTE ENDOCARDITIS W CC,0,,38001117,Acute & subacute endocarditis w CC
ACUTE & SUBACUTE ENDOCARDITIS W MCC,0,,38001116,Acute & subacute endocarditis w MCC
ADMIT FOR RENAL DIALYSIS,38000615,Admit For Renal Dialysis,38001423,Admit for renal dialysis
ADRENAL & PITUITARY PROCEDURES,38000584,Adrenal and Pituitary Procedures,,
ADRENAL & PITUITARY PROCEDURES W CC/MCC,0,,38001370,Adrenal & pituitary procedures w CC/MCC
ADRENAL & PITUITARY PROCEDURES W/O CC/MCC,0,,38001371,Adrenal & pituitary procedures w/o CC/MCC
"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE",38000547,"Aftercare, Musculoskeletal System and Connective Tissue",,
