label,item_id,route,concept_id
Fresh Frozen Plasma,220970,7,4022171
OR FFP Intake,226367,15,4022171
PACU FFP Intake,227072,15,4022171
Platelets,225170,7,4130829
OR Platelet Intake,226369,15,4130829
PACU Platelet Intake,227071,15,4130829
OR Packed RBC Intake,226368,15,4022173
PACU Packed RBC Intake,227070,15,4022173
Packed Red Blood Cells,225168,7,4022173
Dextrose 5%,220949,1,3037253
NaCl 0.9%,225158,1,3037253
Sterile Water,225944,1,3037253
NaCl 0.9%,225158,2,3037253
LR,225828,2,3037253
Dextrose 5%,220949,2,3037253
D5 1/2NS,225823,2,3037253
Piggyback,226089,2,3037253
NaCl 0.45%,225159,2,3037253
D5NS,225825,2,3037253
KCL (Bolus),227522,2,3037253
Magnesium Sulfate (Bolus),227523,2,3037253
Sterile Water,225944,2,3037253
D5LR,225827,2,3037253
Dextrose 10%,220950,2,3037253
NaCl 3% (Hypertonic Saline),225161,2,3037253
D5 1/4NS,225941,2,3037253
Dextrose 20%,228140,2,3037253
Multivitamins,225830,2,3037253
Solution,225943,2,3037253
Dextrose 40%,228142,2,3037253
NaCl 23.4%,228341,2,3037253
Dextrose 30%,228141,2,3037253
NaCl 0.9%,225158,3,3037253
LR,225828,3,3037253
Dextrose 5%,220949,3,3037253
NaCl 0.45%,225159,3,3037253
Solution,225943,3,3037253
D5 1/2NS,225823,3,3037253
Sterile Water,225944,3,3037253
D5NS,225825,3,3037253
D5 1/4NS,225941,3,3037253
D5LR,225827,3,3037253
NaCl 3% (Hypertonic Saline),225161,3,3037253
Dextrose 10%,220950,3,3037253
Albumin 5%,220864,4,3037253
Albumin 25%,220862,4,3037253
Hetastarch (Hespan) 6%,225174,4,3037253
Dextran 40,225795,4,3037253
Cryoprecipitate,225171,7,3037253
IV Immune Globulin (IVIG),227530,7,3037253
Plasma Pheresis,227532,7,3037253
Cell Saver,225173,7,3037253
Dextrose 5%,220949,8,3037253
Solution,225943,8,3037253
NaCl 0.9%,225158,8,3037253
Sterile Water,225944,8,3037253
OR Crystalloid Intake,226364,15,3037253
Pre-Admission Intake,226361,15,3037253
OR Cell Saver Intake,226372,15,3037253
OR Colloid Intake,226365,15,3037253
PACU Crystalloid Intake,226375,15,3037253
Cath Lab Intake,226363,15,3037253
PACU Colloid Intake,226376,15,3037253
OR Cryoprecipitate Intake,226371,15,3037253
OR Autologous Blood Intake,226370,15,3037253
Replete with Fiber (Full),225936,13,3006552
Fibersource HN (Full),227695,13,3006552
Nutren Pulmonary (Full),226880,13,3006552
NovaSource Renal (Full),227975,13,3006552
Isosource 1.5 (Full),228135,13,3006552
Nutren 2.0 (Full),225931,13,3006552
Boost Glucose Control (Full),227979,13,3006552
Replete (Full),225935,13,3006552
Peptamen 1.5 (Full),225930,13,3006552
Nutren Renal (Full),221036,13,3006552
Glucerna (Full),228359,13,3006552
Two Cal HN (Full),228367,13,3006552
Vivonex (Full),225934,13,3006552
Pulmocare (Full),228363,13,3006552
Impact with Fiber (Full),225928,13,3006552
Nepro (Full),228351,13,3006552
Peptamen Bariatric (Full),228383,13,3006552
ProBalance (Full),225929,13,3006552
Ensure (Full),225937,13,3006552
Impact (Full),221207,13,3006552
Replete with Fiber (1/2),226051,13,3006552
Nutren 2.0 (3/4),227518,13,3006552
Replete (3/4),226046,13,3006552
Replete with Fiber (3/4),226050,13,3006552
Nutren Renal (3/4),226030,13,3006552
Nutren Renal (1/2),226031,13,3006552
NovaSource Renal (1/2),227973,13,3006552
Impact with Fiber (3/4),226026,13,3006552
Peptamen 1.5 (3/4),226038,13,3006552
Replete (1/2),226047,13,3006552
NovaSource Renal (3/4),227974,13,3006552
Fibersource HN (3/4),227696,13,3006552
Nutren Pulmonary (1/2),226882,13,3006552
Replete with Fiber (1/4),226048,13,3006552
Peptamen 1.5 (1/2),226039,13,3006552
Impact (3/4),226022,13,3006552
Isosource 1.5 (1/2),228131,13,3006552
Nutren 2.0 (1/2),226019,13,3006552
Fibersource HN (1/2),227698,13,3006552
Nutren 2.0 (1/4),226016,13,3006552
Fibersource HN (1/4),227699,13,3006552
Ensure Plus (Full),226877,13,3006552
Vivonex (1/2),226059,13,3006552
Peptamen 1.5 (1/4),226036,13,3006552
Replete with Fiber (2/3),226049,13,3006552
Replete (2/3),226045,13,3006552
Isosource 1.5 (3/4),228134,13,3006552
Impact (1/2),226023,13,3006552
Two Cal HN (1/2),228364,13,3006552
Nutren Pulmonary (3/4),226881,13,3006552
Impact (1/4),226020,13,3006552
Nutren 2.0 (2/3),226017,13,3006552
Vivonex (3/4),226058,13,3006552
Boost Glucose Control (1/2),227977,13,3006552
Nutren Renal (1/4),226028,13,3006552
Replete (1/4),226044,13,3006552
Boost Glucose Control (3/4),227978,13,3006552
Isosource 1.5 (1/4),228132,13,3006552
Impact with Fiber (1/2),226027,13,3006552
Impact with Fiber (1/4),226024,13,3006552
Ensure (1/4),227091,13,3006552
Ensure (3/4),226875,13,3006552
Impact (2/3),226021,13,3006552
Nepro (1/2),228348,13,3006552
Glucerna (1/2),228356,13,3006552
Peptamen VHP (Full),227370,13,3006552
Isosource 1.5 (2/3),228133,13,3006552
Boost Glucose Control (1/4),227976,13,3006552
Pulmocare (1/4),228361,13,3006552
PO Intake,226452,14,3006552
Gastric Meds,225799,14,3006552
GT Flush,226453,14,3006552
Free Water,225797,14,3006552
PACU PO Intake,226377,15,3006552
Ensure (Full),225937,16,3006552
Ensure Plus (Full),226877,16,3006552
Mighty Shake (Vanilla/Strawberry),225994,16,3006552
Resource Fruit Beverage,225991,16,3006552
Mighty Shake (Chocolate),225995,16,3006552
Mighty Shake (no sugar added),225996,16,3006552
Solution,225943,1,3035591
D5NS,225825,1,3035591
Sodium Bicarbonate 8.4% (Amp),227533,5,3035591
Dextrose 50%,220952,5,3035591
