"label","itemid"
"Propofol",30131
"Insulin",30045
"Fentanyl",30118
"Heparin",30025
"Neosynephrine-k",30128
"Levophed-k",30120
"Midazolam",30124
"Amiodarone",30112
"Nitroglycerine-k",30121
"Dopamine",30043
"Lasix",30123
"Vasopressin",30051
"Ativan",30141
"Milrinone",30125
"Nitroprusside",30050
"Morphine Sulfate",30126
"Epinephrine-k",30119
"Dobutamine",30042
"Labetolol",30122
"Cisatracurium",30114
"Diltiazem",30115
"Natrecor",30172
"Sandostatin",30133
"Dilaudid",30163
"Fentanyl (Conc)",30149
"Integrelin",30142
"Nicardipine",30178
"Esmolol",30117
"Precedex",30167
"Argatroban",30173
"Lidocaine",30048
"Pentobarbitol",30130
"Lepirudin",30177
"Procainamide",30052
"Vecuronium",30138
"Aggrastat",30110
"Doxacurium",30116
"Xigris",30384
"Amicar",30111
"Ketamine",30151
"Atracurium",30113
"TPA",30135
"Reopro",30134
"Narcan",30148
"Pancuronium",30129
"Aminophylline",30003
"Alcohol 10%",30175
"Bivalirudin",30174
"Prostin VR Drip",30312
"Sodium Bicarb Drip",30338
"Isuprel",30046
"Amrinone",30040
"Valium",30139
"Insulin",30310
"Fentanyl",30308
"Neosynephrine-k",30127
"Levophed-k",30047
"Nitroglycerine-k",30049
"Dopamine",30307
"Epinephrine-k",30044
"Dobutamine",30306
"Epinephrine-k",30309
"Propofol",222168
"Insulin",223258
"Fentanyl",221744
"Heparin",225152
"Neosynephrine-k",221749
"Levophed-k",221906
"Midazolam",221668
"Amiodarone",221347
"Nitroglycerine-k",222056
"Dopamine",221662
"Lasix",221794
"Vasopressin",222315
"Ativan",221385
"Milrinone",221986
"Nitroprusside",222051
"Morphine Sulfate",225154
"Epinephrine-k",221289
"Dobutamine",221653
"Labetolol",225153
"Cisatracurium",221555
"Diltiazem",221468
"Natrecor",222037
"Sandostatin",225155
"Dilaudid",221833
"Fentanyl (Conc)",225942
"Integrelin",225151
"Nicardipine",222042
"Esmolol",221429
"Precedex",225150
"Argatroban",225147
"Lidocaine",225945
"Pentobarbitol",225156
"Lepirudin",221892
"Procainamide",222151
"Vecuronium",222062
"Aggrastat",225157
"Xigris",221689
"Ketamine",221712
"TPA",221319
"Reopro",221261
"Narcan",222021
"Aminophylline",221342
"Bivalirudin",225148
"Isuprel",227692
"Amiodarone",228339
"Lasix",228340
