label,concept_id
Green Top Hold (plasma),
Red Top Hold,
Blue Top Hold,
GR HOLD,
EDTA Hold,
Light Green Top Hold,
Uhold,
Gray Top Hold (plasma),
Estimated Actual Glucose,
"Joint Crystals, Birefringence",
"Joint Crystals, Location",
"Joint Crystals, Shape",
Blood Culture Hold,
"Hematocrit, Ascites",
"Miscellaneous, CSF",
"Miscellaneous, Body Fluid",
"Sodium, Pleural",
"Potassium, Pleural",
Young,
FRUCAMN+,
Promyelocytes,
Anti-DGP (IgA/IgG),
Blue Top Hold Frozen,
"Miscellaneous, Ascites",
"Miscellaneous, Pleural",
I,
H,
WBCP,
STDY HOLD,
LUC,
Alpha Antiplasmin,
MYELOS,
APT Test,
Billed,
Young Cells,
STDYURINE,
Myelocytes,43055360
Metamyelocytes,43055361
Blasts,43055362
Inpatient Hematology/Oncology Smear,3018760
CD34,40763401
"Creatinine, Serum",3016723
CD56,3005460
CD138,3031831
"AFP, Maternal Screen",3009306
Arachadonic Acid,3008541
CD20,3022878
CD20 %,3022878
CD16/56%,3015455
Urine Creatinine,3017250
CD19 %,3016228
CD103,3018791
Inhibitor Screen,3031335
CD71,3002153
Ventilation Rate,3024171
"UE3, Maternal Screen",3025455
"Lipase, Pleural",3048752
Reptilase Time Control,3011893
Immunophenotyping,4276031
CD59,3043394
CD16/56 Absolute Count,3020358
tacroFK,3026250
Lupus Anticoagulant,4268621
CD3 Absolute Count,3011412
CD20 Absolute Count,3018071
"Reticulocyte, Cellular Hemoglobin",46234968
Temperature,3020891
CD5 %,3020383
"Acid Phosphatase, Non-Prostatic",3009383
Red Blood Cell Fragments,3019880
CD22,3022703
25-OH Vitamin D,3020149
Other,3033206
Ristocetin,3018367
CD5 Absolute Count,3018627
CD57,3004291
Kappa,4005508
ADP,3014543
WBC Clumps,3043728
PLASMGN,3026834
Oval Fat Body,3032469
"ACID PHOSPHATASE, PROSTATIC",3035029
CD16,3010201
Methotrexate,3017115
TdT,3039644
TDT,3039644
"Hematocrit, Joint Fluid",42868642
Epithelial Casts,3024290
"Hematocrit, Pleural",42868643
FMC-7,3003047
CD25,3011497
NRBC,40761514
Nucleated RBC,40761514
Required O2,3020716
SPECIMEN TYPE,4081838
CD38,3019183
FetalFN,3036848
"HCG, Maternal Screen",3038136
CD55,3007166
RBC Clumps,3033026
D-Dimer,3051714
CD3 %,3022533
CD19 Absolute Count,3010503
Macro Prolactin,44816844
Bands,3018199
Collagen,3007451
SURFACTANT ALBUMIN RATIO,3017439
Cellular Cast,3042529
"Albumin, Joint Fluid",3025380
Other Cell,40761572
"Reducing Substances, Urine",3035113
Epinepherine,3003882
Lambda,4007662
"Joint Crystals, Number",4057589
Amikacin,3036152
AF-AFP,3010296
Ventilator,3004921
Intubated,45884415
