org_name,snomed
2ND ISOLATE,
STREPTOCOCCUS MUTANS,214001
LACTOBACILLUS CASEI,1017006
MYCOPLASMA HOMINIS,1290001
PROVIDENCIA STUARTII,1445008
MYCOBACTERIUM KANSASII,1507005
ZYGOMYCETES,1582002
RHINOVIRUS,1838001
ASPERGILLUS SPECIES,2429008
ENTEROCOCCUS SP.,2785000
PROBABLE ENTEROCOCCUS,2785000
STAPH AUREUS COAG +,3092008
ACTINOMYCES MEYERII,3174002
SCOPULARIOPSIS BREVICAULIS,3245004
CANDIDA SPECIES,3265006
CURVULARIA SP.,5214001
CLOSTRIDIUM DIFFICILE,5933001
CITROBACTER FREUNDII COMPLEX,6265002
POSITIVE FOR RESPIRATORY SYNCYTIAL VIRUS (RSV),6415009
RESPIRATORY SYNCYTIAL VIRUS (RSV),6415009
LEGIONELLA SPECIES,7527002
ACINETOBACTER SP.,7757008
CLOSTRIDIUM SPECIES,8191000
CLOSTRIDIUM PERFRINGENS,8331005
PRESUMPTIVE CLOSTRIDIUM PERFRINGENS,8331005
GRAM POSITIVE BACTERIA,8745002
AEROCOCCUS SPECIES,9008009
ASPERGILLUS NIGER,9354002
STREPTOCOCCUS PNEUMONIAE,9861002
LACTOCOCCUS SPECIES,9879003
CHAETOMIUM SPECIES,10210008
BORDETELLA BRONCHISEPTICA,10620008
PASTEURELLA MULTOCIDA,10879005
GEMELLA SPECIES,11590002
POSITIVE FOR UREAPLASMA UREALYTICUM,12006007
ACTINOMYCES ODONTOLYTICUS,12069003
PITHOMYCES SP.,12760009
HERPES SIMPLEX VIRUS TYPE 2,13687007
POSITIVE FOR HERPES SIMPLEX TYPE 2 (HSV2),13687007
PROVIDENCIA RETTGERI,14196002
ENTEROBACTER CLOACAE,14385002
HERPES SIMPLEX VIRUS TYPE 1,15302007
POSITIVE FOR HERPES SIMPLEX TYPE 1 (HSV1),15302007
CANDIDA GUILLIERMONDII,16557001
CRYPTOCOCCUS SPECIES,17579001
RHIZOPUS SPECIES,17683005
NEISSERIA MENINGITIDIS,17872004
MALASSEZIA SPECIES,18097004
GRAM NEGATIVE COCCI,18383003
ASCARIS LUMBRICOIDES,19061001
VARICELLA-ZOSTER VIRUS,19551004
POSITIVE FOR VARICELLA ZOSTER,19551004
"STAPHYLOCOCCUS SAPROPHYTICUS, PRESUMPTIVE IDENTIFICATION",19743000
STREPTOCOCCUS ORALIS,19870004
POSITIVE FOR HERPES SIMPLEX (HSV),19965007
CAPNOCYTOPHAGA SPECIES,22294008
GAMMA(I.E. NON-HEMOLYTIC) STREPTOCOCCUS,22339002
ASPERGILLUS USTUS,23179008
COCCIDIOIDES IMMITIS,23439005
FUNGUS,23496000
SERRATIA LIQUEFACIENS,23787004
MORAXELLA CATARRHALIS,24226003
