SEQ_NUM,concept_id
1,38000184
2,38000185
3,38000186
4,38000187
5,38000188
6,38000189
7,38000190
8,38000191
9,38000192
10,38000193
11,38000194
12,38000195
13,38000196
14,38000197
15,38000198
16,44818709
17,44818710
18,44818711
19,44818712
20,44818713
21,44818713
22,44818713
23,44818713
24,44818713
25,44818713
26,44818713
27,44818713
28,44818713
29,44818713
30,44818713
31,44818713
32,44818713
33,44818713
34,44818713
35,44818713
36,44818713
37,44818713
38,44818713
39,44818713
40,44818713
41,44818713
42,44818713
43,44818713
44,44818713
