spec_type_desc,loinc,snomed
PERIPHERAL BLOOD LYMPHOCYTES,,
NEOPLASTIC BLOOD,,
"C, E, & A Screening",,
STOOL (RECEIVED IN TRANSPORT SYSTEM),625-4,
FECAL SWAB,625-4,
THROAT FOR STREP,626-2,
FOOT CULTURE,6462-6,
POSTMORTEM CULTURE,6463-4,
Isolate,6463-4,
STERILITY CULTURE,6463-4,
XXX,6463-4,
"SWAB, R/O GC",6463-4,
SWAB - R/O YEAST,6463-4,
VIRAL CULTURE: R/O CYTOMEGALOVIRUS,6584-7,
POST-MORTEM VIRAL CULTURE,6584-7,
SCOTCH TAPE PREP/PADDLE,10669-0,
VARICELLA-ZOSTER CULTURE,10860-5,
ANORECTAL/VAGINAL CULTURE,11261-5,
Influenza A/B by DFA - Bronch Lavage,44566-8,
Influenza A/B by DFA - Bronch Wash,44566-8,
RECTAL - R/O GC,52966-9,
Stem Cell - Blood Culture,60258-1,
CRE Screen,62237-3,
BLOOD CULTURE (POST-MORTEM),76693-1,
"URINE,PROSTATIC MASSAGE",76693-1,
BLOOD BAG FLUID,76693-1,
Rapid Respiratory Viral Screen & Culture,81655-3,
RAPID RESPIRATORY VIRAL ANTIGEN TEST,81655-3,
DIALYSIS FLUID,9822-8,119360007
CORNEAL EYE SCRAPINGS,60257-3,258485006
Blood (Toxo),22577-1,408202000
Direct Antigen Test for Herpes Simplex Virus Types 1 & 2,16945-8,117738003
SEROLOGY/BLOOD,12272-1,165994006
IMMUNOLOGY,12272-1,165994006
ARTHROPOD,10644-3,106762008
FOREIGN BODY,78356-3,447103002
BONE MARROW,60258-1,119359002
ASPIRATE,43411-8,119295008
MRSA SCREEN,35492-8,401289003
Staph aureus Screen,35492-8,401289003
GASTRIC ASPIRATE,52967-7,168137004
SKIN SCRAPINGS,620-5,446952006
BLOOD CULTURE ( MYCO/F LYTIC BOTTLE),601-5,30088009
BLOOD CULTURE,76693-1,30088009
BLOOD CULTURE - NEONATE,76693-1,30088009
DIRECT ANTIGEN TEST FOR VARICELLA-ZOSTER VIRUS,31982-2,122248009
THROAT,626-2,119389009
NOSE,10353-1,447154002
PLEURAL FLUID,618-9,91602002
URINE,630-4,117010004
Blood (Malaria),51587-4,412690006
BRONCHIAL WASHINGS,604-9,397394009
BRONCHOALVEOLAR LAVAGE,43441-5,397394009
Mini-BAL,43441-5,397394009
TRACHEAL ASPIRATE,52973-5,445447003
EYE,609-8,119399004
BONE MARROW - CYTOGENETICS,57802-1,110897001
FLUID WOUND,6462-6,122566000
Touch Prep/Sections,20474-3,430854000
BRONCHIAL BRUSH - PROTECTED,604-9,61339001
"URINE,KIDNEY",630-4,446907008
TRANSTRACHEAL ASPIRATE,52973-5,258480001
BRONCHIAL BRUSH,604-9,258576008
"URINE,SUPRAPUBIC ASPIRATE",630-4,258576008
NAIL SCRAPINGS,573-6,447098004
STOOL,625-4,117028002
Blood (EBV),24316-2,2425002
BILE,53911-4,235566000
SWAB,6463-4,401294003
TISSUE,43408-4,401294003
ABSCESS,75357-4,401294003
CSF;SPINAL FLUID,606-4,104174003
"FLUID,OTHER",611-4,117027007
FLUID RECEIVED IN BLOOD CULTURE BOTTLES,611-4,117027007
VIRAL CULTURE:R/O HERPES SIMPLEX VIRUS,6584-7,118104004
Immunology (CMV),22244-8,30200007
Blood (CMV AB),22244-8,30200007
EAR,608-0,309165001
SPUTUM,6460-0,104173009
WORM,10671-6,704663000
THROAT CULTURE,626-2,117015009
BLOOD,76693-1,119297000
JOINT FLUID,621-3,431361003
BIOPSY,20474-3,86273004
CATHETER TIP-IV,19128-8,70977009
Influenza A/B by DFA,24015-0,104310006
PERITONEAL FLUID,619-7,168139001
