"LoincNumber","PartNumber","PartTypeName","PartSequenceOrder","PartName"
"11488-4","LP173418-7","Document.Kind","1","Note"
"11488-4","LP173110-0","Document.TypeOfService","1","Consultation"
"11488-4","LP173061-5","Document.Setting","1","{Setting}"
"11488-4","LP187187-2","Document.Role","1","{Role}"
"11490-0","LP173418-7","Document.Kind","1","Note"
"11490-0","LP173221-5","Document.TypeOfService","1","Discharge summary"
"11490-0","LP173061-5","Document.Setting","1","{Setting}"
"11490-0","LP173084-7","Document.Role","1","Physician"
"11492-6","LP173418-7","Document.Kind","1","Note"
"11492-6","LP173198-5","Document.TypeOfService","1","History and physical"
"11492-6","LP173065-6","Document.Setting","1","Hospital"
"11492-6","LP187187-2","Document.Role","1","{Role}"
"11504-8","LP173418-7","Document.Kind","1","Note"
"11504-8","LP173214-0","Document.TypeOfService","1","Surgical operation"
"11504-8","LP173061-5","Document.Setting","1","{Setting}"
"11504-8","LP187187-2","Document.Role","1","{Role}"
"11505-5","LP173418-7","Document.Kind","1","Note"
"11505-5","LP173234-8","Document.TypeOfService","1","Procedure"
"11505-5","LP173061-5","Document.Setting","1","{Setting}"
"11505-5","LP173084-7","Document.Role","1","Physician"
"11506-3","LP173418-7","Document.Kind","1","Note"
"11506-3","LP173213-2","Document.TypeOfService","1","Progress"
"11506-3","LP173061-5","Document.Setting","1","{Setting}"
"11506-3","LP187187-2","Document.Role","1","{Role}"
"11507-1","LP173418-7","Document.Kind","1","Note"
"11507-1","LP173213-2","Document.TypeOfService","1","Progress"
"11507-1","LP173061-5","Document.Setting","1","{Setting}"
"11507-1","LP172973-2","Document.SubjectMatterDomain","1","Occupational therapy"
"11508-9","LP173418-7","Document.Kind","1","Note"
"11508-9","LP173213-2","Document.TypeOfService","1","Progress"
"11508-9","LP173061-5","Document.Setting","1","{Setting}"
"11508-9","LP173005-2","Document.SubjectMatterDomain","1","Physical therapy"
"11509-7","LP173418-7","Document.Kind","1","Note"
"11509-7","LP173213-2","Document.TypeOfService","1","Progress"
"11509-7","LP173061-5","Document.Setting","1","{Setting}"
"11509-7","LP173008-6","Document.SubjectMatterDomain","1","Podiatry"
"11510-5","LP173418-7","Document.Kind","1","Note"
"11510-5","LP173213-2","Document.TypeOfService","1","Progress"
"11510-5","LP173061-5","Document.Setting","1","{Setting}"
"11510-5","LP173012-8","Document.SubjectMatterDomain","1","Psychology"
"11512-1","LP173418-7","Document.Kind","1","Note"
"11512-1","LP173213-2","Document.TypeOfService","1","Progress"
"11512-1","LP173061-5","Document.Setting","1","{Setting}"
"11512-1","LP173025-0","Document.SubjectMatterDomain","1","Speech-language pathology"
"15507-7","LP173418-7","Document.Kind","1","Note"
"15507-7","LP173213-2","Document.TypeOfService","1","Progress"
"15507-7","LP173043-3","Document.Setting","1","Emergency department"
"15507-7","LP187187-2","Document.Role","1","{Role}"
"18733-6","LP173418-7","Document.Kind","1","Note"
"18733-6","LP173213-2","Document.TypeOfService","1","Progress"
"18733-6","LP173061-5","Document.Setting","1","{Setting}"
"18733-6","LP173085-4","Document.Role","1","Physician attending"
"18734-4","LP173418-7","Document.Kind","1","Note"
"18734-4","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"18734-4","LP173061-5","Document.Setting","1","{Setting}"
"18734-4","LP172973-2","Document.SubjectMatterDomain","1","Occupational therapy"
"18735-1","LP173418-7","Document.Kind","1","Note"
"18735-1","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"18735-1","LP173061-5","Document.Setting","1","{Setting}"
"18735-1","LP173005-2","Document.SubjectMatterDomain","1","Physical therapy"
"18736-9","LP173418-7","Document.Kind","1","Note"
"18736-9","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"18736-9","LP173061-5","Document.Setting","1","{Setting}"
"18736-9","LP173084-7","Document.Role","1","Physician"
"18737-7","LP173418-7","Document.Kind","1","Note"
"18737-7","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"18737-7","LP173061-5","Document.Setting","1","{Setting}"
"18737-7","LP173008-6","Document.SubjectMatterDomain","1","Podiatry"
"18738-5","LP173418-7","Document.Kind","1","Note"
"18738-5","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"18738-5","LP173061-5","Document.Setting","1","{Setting}"
"18738-5","LP173012-8","Document.SubjectMatterDomain","1","Psychology"
"18739-3","LP173418-7","Document.Kind","1","Note"
"18739-3","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"18739-3","LP173061-5","Document.Setting","1","{Setting}"
"18739-3","LP173024-3","Document.SubjectMatterDomain","1","Social work"
"18740-1","LP173418-7","Document.Kind","1","Note"
"18740-1","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"18740-1","LP173061-5","Document.Setting","1","{Setting}"
"18740-1","LP173025-0","Document.SubjectMatterDomain","1","Speech-language pathology"
"18743-5","LP173421-1","Document.Kind","1","Report"
"18743-5","LP173237-1","Document.TypeOfService","1","Autopsy"
"18743-5","LP173061-5","Document.Setting","1","{Setting}"
"18743-5","LP187187-2","Document.Role","1","{Role}"
"18761-7","LP173418-7","Document.Kind","1","Note"
"18761-7","LP173226-4","Document.TypeOfService","1","Transfer summary"
"18761-7","LP173061-5","Document.Setting","1","{Setting}"
"18761-7","LP187187-2","Document.Role","1","{Role}"
"18763-3","LP173418-7","Document.Kind","1","Note"
"18763-3","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"18763-3","LP173061-5","Document.Setting","1","{Setting}"
"18763-3","LP173086-2","Document.Role","1","Physician consulting"
"18776-5","LP173418-7","Document.Kind","1","Note"
"18776-5","LP173209-0","Document.TypeOfService","1","Plan of care"
"18776-5","LP173061-5","Document.Setting","1","{Setting}"
"18776-5","LP187187-2","Document.Role","1","{Role}"
"18842-5","LP173418-7","Document.Kind","1","Note"
"18842-5","LP173221-5","Document.TypeOfService","1","Discharge summary"
"18842-5","LP173061-5","Document.Setting","1","{Setting}"
"18842-5","LP187187-2","Document.Role","1","{Role}"
"24611-6","LP173418-7","Document.Kind","1","Note"
"24611-6","LP173111-8","Document.TypeOfService","1","Confirmatory consultation"
"24611-6","LP173051-6","Document.Setting","1","Outpatient"
"24611-6","LP187187-2","Document.Role","1","{Role}"
"28568-4","LP173418-7","Document.Kind","1","Note"
"28568-4","LP173043-3","Document.Setting","1","Emergency department"
"28568-4","LP173084-7","Document.Role","1","Physician"
"28569-2","LP173418-7","Document.Kind","1","Note"
"28569-2","LP173213-2","Document.TypeOfService","1","Progress"
"28569-2","LP173061-5","Document.Setting","1","{Setting}"
"28569-2","LP173086-2","Document.Role","1","Physician consulting"
"28570-0","LP173418-7","Document.Kind","1","Note"
"28570-0","LP173234-8","Document.TypeOfService","1","Procedure"
"28570-0","LP173061-5","Document.Setting","1","{Setting}"
"28570-0","LP187187-2","Document.Role","1","{Role}"
"28571-8","LP173418-7","Document.Kind","1","Note"
"28571-8","LP173061-5","Document.Setting","1","{Setting}"
"28571-8","LP173025-0","Document.SubjectMatterDomain","1","Speech-language pathology"
"28572-6","LP173418-7","Document.Kind","1","Note"
"28572-6","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"28572-6","LP173061-5","Document.Setting","1","{Setting}"
"28572-6","LP172934-4","Document.SubjectMatterDomain","1","Dentistry"
"28573-4","LP173418-7","Document.Kind","1","Note"
"28573-4","LP173214-0","Document.TypeOfService","1","Surgical operation"
"28573-4","LP173061-5","Document.Setting","1","{Setting}"
"28573-4","LP173084-7","Document.Role","1","Physician"
"28575-9","LP173418-7","Document.Kind","1","Note"
"28575-9","LP173213-2","Document.TypeOfService","1","Progress"
"28575-9","LP173061-5","Document.Setting","1","{Setting}"
"28575-9","LP173080-5","Document.Role","1","Nurse practitioner"
"28577-5","LP173418-7","Document.Kind","1","Note"
"28577-5","LP173234-8","Document.TypeOfService","1","Procedure"
"28577-5","LP173061-5","Document.Setting","1","{Setting}"
"28577-5","LP172934-4","Document.SubjectMatterDomain","1","Dentistry"
"28578-3","LP173418-7","Document.Kind","1","Note"
"28578-3","LP173061-5","Document.Setting","1","{Setting}"
"28578-3","LP172973-2","Document.SubjectMatterDomain","1","Occupational therapy"
"28579-1","LP173418-7","Document.Kind","1","Note"
"28579-1","LP173061-5","Document.Setting","1","{Setting}"
"28579-1","LP173005-2","Document.SubjectMatterDomain","1","Physical therapy"
"28580-9","LP173418-7","Document.Kind","1","Note"
"28580-9","LP173213-2","Document.TypeOfService","1","Progress"
"28580-9","LP173061-5","Document.Setting","1","{Setting}"
"28580-9","LP172923-7","Document.SubjectMatterDomain","1","Chiropractic medicine"
"28581-7","LP173418-7","Document.Kind","1","Note"
"28581-7","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"28581-7","LP173061-5","Document.Setting","1","{Setting}"
"28581-7","LP172923-7","Document.SubjectMatterDomain","1","Chiropractic medicine"
"28583-3","LP173418-7","Document.Kind","1","Note"
"28583-3","LP173214-0","Document.TypeOfService","1","Surgical operation"
"28583-3","LP173061-5","Document.Setting","1","{Setting}"
"28583-3","LP172934-4","Document.SubjectMatterDomain","1","Dentistry"
"28616-1","LP173418-7","Document.Kind","1","Note"
"28616-1","LP173226-4","Document.TypeOfService","1","Transfer summary"
"28616-1","LP173061-5","Document.Setting","1","{Setting}"
"28616-1","LP173084-7","Document.Role","1","Physician"
"28617-9","LP173418-7","Document.Kind","1","Note"
"28617-9","LP173213-2","Document.TypeOfService","1","Progress"
"28617-9","LP173061-5","Document.Setting","1","{Setting}"
"28617-9","LP172934-4","Document.SubjectMatterDomain","1","Dentistry"
"28618-7","LP173418-7","Document.Kind","1","Note"
"28618-7","LP173061-5","Document.Setting","1","{Setting}"
"28618-7","LP172934-4","Document.SubjectMatterDomain","1","Dentistry"
"28621-1","LP173418-7","Document.Kind","1","Note"
"28621-1","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"28621-1","LP173061-5","Document.Setting","1","{Setting}"
"28621-1","LP173080-5","Document.Role","1","Nurse practitioner"
"28623-7","LP173418-7","Document.Kind","1","Note"
"28623-7","LP173213-2","Document.TypeOfService","1","Progress"
"28623-7","LP173061-5","Document.Setting","1","{Setting}"
"28623-7","LP173075-5","Document.Role","1","Nurse"
"28624-5","LP173418-7","Document.Kind","1","Note"
"28624-5","LP173214-0","Document.TypeOfService","1","Surgical operation"
"28624-5","LP173061-5","Document.Setting","1","{Setting}"
"28624-5","LP173008-6","Document.SubjectMatterDomain","1","Podiatry"
"28625-2","LP173418-7","Document.Kind","1","Note"
"28625-2","LP173234-8","Document.TypeOfService","1","Procedure"
"28625-2","LP173061-5","Document.Setting","1","{Setting}"
"28625-2","LP173008-6","Document.SubjectMatterDomain","1","Podiatry"
"28626-0","LP173418-7","Document.Kind","1","Note"
"28626-0","LP173198-5","Document.TypeOfService","1","History and physical"
"28626-0","LP173061-5","Document.Setting","1","{Setting}"
"28626-0","LP173084-7","Document.Role","1","Physician"
"28627-8","LP173418-7","Document.Kind","1","Note"
"28627-8","LP173213-2","Document.TypeOfService","1","Progress"
"28627-8","LP173061-5","Document.Setting","1","{Setting}"
"28627-8","LP173011-0","Document.SubjectMatterDomain","1","Psychiatry"
"28628-6","LP173418-7","Document.Kind","1","Note"
"28628-6","LP173061-5","Document.Setting","1","{Setting}"
"28628-6","LP173011-0","Document.SubjectMatterDomain","1","Psychiatry"
"28635-1","LP173418-7","Document.Kind","1","Note"
"28635-1","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"28635-1","LP173061-5","Document.Setting","1","{Setting}"
"28635-1","LP173011-0","Document.SubjectMatterDomain","1","Psychiatry"
"28636-9","LP173418-7","Document.Kind","1","Note"
"28636-9","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"28636-9","LP173061-5","Document.Setting","1","{Setting}"
"28636-9","LP187187-2","Document.Role","1","{Role}"
"28651-8","LP173418-7","Document.Kind","1","Note"
