header,header
service,service
date of birth,date of birth
history of present illness,history of present illness
allergies,allergies
past medical history,past medical history
social history,social history
discharge disposition,discharge disposition
discharge medications,discharge medications
discharge diagnosis,discharge diagnosis
medications on admission,admission medications
attending,attending
family history,family history
discharge condition,discharge condition
discharge instructions,discharge instructions
brief hospital course,hospital course
major surgical or invasive procedure,major surgical or invasive procedure
physical exam,physical examination
pertinent results,pertinent results
followup instructions,followup instructions
facility,facility
completed by,completed by
dictated by,dictated by
impression,impression
hospital course,hospital course
physical examination,physical examination
discharge diagnoses,discharge diagnoses
department,department
condition on discharge,discharge condition
admission date,admission date
medications,admission medications
discharge status,discharge disposition
findings,findings
laboratory data,laboratory data
provider,provider
past surgical history,past surgical history
reason,reason
chief complaint,chief complaint
medications on discharge,discharge medications
history,past medical history
imaging,imaging
general,general
condition at discharge,discharge condition
motor,motor
sensitivities,sensitivities
cranial nerves,cranial nerves
review of systems,review of systems
comparison,comparison
disposition,discharge disposition
secondary,secondary
cardiovascular,cardiovascular
technique,technique
neuro,neurologic
sensation,sensation
discharge labs,discharge labs
infectious disease,infectious disease
hematology,hematology
physical examination on admission,physical examination on admission
addendum,addendum
reflexes,reflexes
mitral valve,mitral valve
aortic valve,aortic valve
physical examination on presentation,physical examination on presentation
care recommendations,care recommendations
right ventricle,right ventricle
neck,neck
tricuspid valve,tricuspid valve
indication,indication
left ventricle,left ventricle
follow up,follow up
sensory,sensory
coordination,coordination
aorta,aorta
on discharge,on discharge
cxr,cxr
general comments,general comments
neurologic,neurologic
primary pediatrician,primary pediatrician
micro,microbiology
gi,gi
neurology,neurology
pericardium,pericardium
secondary diagnosis,secondary diagnosis
name,name
final diagnosis,final diagnosis
name of primary pediatrician,name of primary pediatrician
secondary diagnoses,secondary diagnoses
psychosocial,psychosocial
gastrointestinal,gastrointestinal
history of the present illness,history of the present illness
id,infectious disease
carotid bruit        right,carotid bruit        right
ros,review of systems
immunizations recommended,immunizations recommended
labs,labs
microbiology,microbiology
psh,psh
cv,cardiovascular
laboratory,laboratory
transitional issues,transitional issues
discharge exam,discharge exam
ekg,ecg
studies,studies
cc,cc
immunizations received,immunizations received
care and recommendations,care and recommendations
gen,gen
summary of hospital course by systems,summary of hospital course by systems
neurologic examination,neurologic examination
respiratory,respiratory
medications on transfer,transfer medications
what activities you can and cannot do,what activities you can and cannot do
note,note
heent,heent
ophthalmology,ophthalmology
medications at home,admission medications
pertinent laboratory values on presentation,pertinent laboratory values on presentation
pulmonary,pulmonary
conclusions,conclusions
the following changes were made to your medications,the following changes were made to your medications
what to report to office,what to report to office
labs on discharge,labs on discharge
interpretation,interpretation
discharge,discharge
hospital course by systems,hospital course by systems
gait,gait
heme,heme
read by,read by
admission medications,admission medications
discharge followup,discharge followup
bone windows,bone windows
echo,echo
diagnosis,diagnosis
gu,gu
medication changes,medication changes
renal,renal
cardiac,cardiac
endocrine,endocrine
discharge physical exam,discharge physical exam
summary of hospital course,summary of hospital course
prophylaxis,prophylaxis
prenatal screens,prenatal screens
activity,activity
left atrium,left atrium
hospital course by system,hospital course by system
vitals,vitals
laboratories on admission,laboratories on admission
immunizations,immunizations
pt,pt
radiology,radiology
procedure,procedure
we made the following changes to your medications,we made the following changes to your medications
abdomen,abdomen
physical exam on admission,physical exam on admission
diet,diet
followup,followup
referring doctor,referring doctor
pertinent laboratory data on presentation,pertinent laboratory data on presentation
mental status,mental status
skin,skin
incision care,incision care
measurements,measurements
reviewed by,reviewed by
ct head,ct head
car seat position screening,car seat position screening
recommendations,recommendations
what to expect when you go home,what to expect when you go home
conclusion,conclusion
fen,fen
extremities,extremities
code status,code status
admission diagnosis,admission diagnosis
active issues,active issues
cardiac enzymes,cardiac enzymes
laboratories,laboratories
assessment,assessment
pulse,pulse
resp,resp
laboratory data on admission,laboratory data on admission
constitutional,constitutional
comments,comments
vs,vs
wound care,wound care
surgeon,surgeon
lungs,lungs
comparisons,comparisons
ecg,ecg
regional left ventricular wall motion,regional left ventricular wall motion
ext,ext
ca,ca
home medications,admission medications
physical therapy,physical therapy
admission labs,admission labs
state newborn screen,state newborn screen
maternal history,maternal history
audiology,audiology
medications prior to admission,admission medications
pain,pain
physical exam on discharge,physical exam on discharge
left,left
tte,tte
care and recommendations at the time of discharge,care and recommendations at the time of discharge
specimen submitted,specimen submitted
pulm,pulm
endo,endo
urine,urine
test type,test type
exam on discharge,exam on discharge
physical examination on discharge,physical examination on discharge
final diagnoses,final diagnoses
please call to schedule the following,please call to schedule the following
brief summary of hospital course,brief summary of hospital course
code,code
neurological,neurological
pulses,pulses
osseous structures,osseous structures
cardiologist,cardiologist
nutrition,nutrition
primary care pediatrician,primary care pediatrician
chronic issues,chronic issues
electrocardiogram,electrocardiogram
treatments frequency,treatments frequency
provisional findings impression,provisional findings impression
at discharge,at discharge
pathology,pathology
head ct,head ct
we have made the following changes to your medications,we have made the following changes to your medications
chest,chest
please call to schedule appointments with,please call to schedule appointments with
outpatient medications,outpatient medications
carotid bruit,carotid bruit
abd,abd
cn,cn
summary of hospital course by system,summary of hospital course by system
plan,plan
admitting diagnosis,admitting diagnosis
upon discharge,upon discharge
pmh,past medical history
all,all
feeds at discharge,feeds at discharge
lv wall motion,lv wall motion
the following changes have been made to your medications,the following changes have been made to your medications
clinical,clinical
history of hospital course by systems,history of hospital course by systems
dispo,dispo
post bypass,post bypass
preoperative medications,preoperative medications
neonatal course,neonatal course
admission physical examination,admission physical examination
reports,reports
clinical implications,clinical implications
follow up plans,follow up plans
discharge plan,discharge plan
eeg,eeg
cbc,cbc
coags,coags
cardiology,cardiology
assessment and plan,assessment and plan
reason for admission,reason for admission
wet read,wet read
concise summary of hospital course,concise summary of hospital course
follow up appointments,follow up appointments
identification,identification
changes to your medications,changes to your medications
labs on admission,labs on admission
diagnoses,diagnoses
postoperative diagnosis,postoperative diagnosis
physical examination at discharge,physical examination at discharge
vital signs,vital signs
chemistries,chemistries
discharge physical examination,discharge physical examination
clinical information,clinical information
general appearance,general appearance
anemia,anemia
incisions,incisions
recommendations after discharge,recommendations after discharge
ck,ck
admission diagnoses,admission diagnoses
ct of the pelvis with iv contrast,ct of the pelvis with iv contrast
cardiovascular status,cardiovascular status
genitourinary,genitourinary
recommended immunizations,recommended immunizations
clinical history,clinical history
egd,egd
ct abdomen,ct abdomen
preoperative diagnosis,preoperative diagnosis
hematologic,hematologic
condition on transfer,condition on transfer
cta,cta
neurological examination,neurological examination
name of primary care pediatrician,name of primary care pediatrician
gastrointestinal status,gastrointestinal status
pcp,pcp
labs at discharge,labs at discharge
pelvis,pelvis
other,other
hypertension,hypertension
ct pelvis,ct pelvis
access,access
procedures,procedures
abdominal,abdominal
infectious disease status,infectious disease status
post cpb,post cpb
imaging studies,imaging studies
technical factors,technical factors
ct chest,ct chest
hpi,hpi
anesthesia,anesthesia
ua,ua
rhythm,rhythm
musculoskeletal,musculoskeletal
peripheral vascular,peripheral vascular
indications,indications
state newborn screening status,state newborn screening status
ms,ms
md,md
primary care,primary care
immediately after the operation,immediately after the operation
please make the following changes to your medications,please make the following changes to your medications
primary pediatric care,primary pediatric care
transitional care issues,transitional care issues
micu course,micu course
images,images
pe,pe
pump,pump
current medications,admission medications
discharge diet,discharge diet
pshx,pshx
reason for exam,reason for exam
date,date
communication,communication
other labs,other labs
physical exam upon discharge,physical exam upon discharge
ct of the abdomen with iv contrast,ct of the abdomen with iv contrast
ct of the pelvis,ct of the pelvis
call 911 or go to the nearest emergency room if you experience,call 911 or go to the nearest emergency room if you experience
when to call your surgeon,when to call your surgeon
discharge summary addendum,discharge summary addendum
inactive issues,inactive issues
pertinent labs,pertinent labs
pregnancy history,pregnancy history
chemistry,chemistry
alt,alt
reflex,reflex
n,n
state newborn screening,state newborn screening
complications,complications
lfts,lfts
discharge follow up,discharge follow up
fluid and electrolytes,fluid and electrolytes
cultures,cultures
laboratory on admission,laboratory on admission
review of symptoms,review of symptoms
motor system,motor system
mri,mri
exam,exam
general discharge instructions,general discharge instructions
neurological exam,neurological exam
antenatal history,antenatal history
discharge pe,discharge pe
primary care physician,primary care physician
condition at transfer,condition at transfer
primary diagnosis,primary diagnosis
hr,hr
other pertinent labs,other pertinent labs
pediatrician,pediatrician
msk,msk
abg,abg
physical exam at discharge,physical exam at discharge
laboratory studies,laboratory studies
indications for catheterization,indications for catheterization
echocardiogram,echocardiogram
condition,condition
postbypass,postbypass
assistant,assistant
comment,comment
admitting medications,admission medications
ct pelvis with iv contrast,ct pelvis with iv contrast
cardiac risk factors,cardiac risk factors
hemodynamics results body surface area,hemodynamics results body surface area
social,social
approved,approved
psych,psych
review of sytems,review of systems
admission laboratories,admission laboratories
acute renal failure,acute renal failure
hospital course by problem,hospital course by problem
preoperative laboratory data,preoperative laboratory data
transfer medications,transfer medications
atrial fibrillation,atrial fibrillation
source,source
htn,htn
meds on transfer,transfer medications
ct torso,ct torso
cta chest,cta chest
viral culture,viral culture
iron and vitamin d supplementation,iron and vitamin d supplementation
state newborn screens,state newborn screens
cvs,cvs
transitions of care,transitions of care
cta head,cta head
urinalysis,urinalysis
radiologic studies,radiologic studies
study,study
cardiac catheterization,cardiac catheterization
examination,examination
car seat position screen,car seat position screen
please note the following changes to your medications,please note the following changes to your medications
injuries,injuries
hypotension,hypotension
new medications,new medications
temp,temp
icu course,icu course
ppx,ppx
admission physical exam,admission physical exam
micro data,micro data
relevant imaging,relevant imaging
review of hospital course by systems,review of hospital course by systems
laboratory data on presentation,laboratory data on presentation
reason for this examination,reason for this examination
ct of the abdomen,ct of the abdomen
wound,wound
activity status,activity status
problems during hospital stay,problems during hospital stay
cardiac cath,cardiac cath
carotid bruit     right,carotid bruit     right
feedings at discharge,feedings at discharge
neurologic exam,neurologic exam
attending physician,attending physician
genetics,genetics
fluids and electrolytes,fluids and electrolytes
nicu course by systems,nicu course by systems
brief history,brief history
mri head,mri head
ptca comments,ptca comments
lactate,lactate
clinical indication,clinical indication
diabetes,diabetes
the state newborn screen,the state newborn screen
ed course,ed course
location,location
active diagnoses,active diagnoses
blood cultures,blood cultures
hematological,hematological
start,start
tobacco,tobacco
neuro exam,neuro exam
language,language
admission laboratory data,admission laboratory data
floor course,floor course
impressions,impressions
relevant labs,relevant labs
on admission,on admission
urine studies,urine studies
laboratory data on discharge,laboratory data on discharge
bp,bp
other past medical history,past medical history
medication instructions,medication instructions
problem list,problem list
tee,tee
final discharge diagnoses,final discharge diagnoses
summary,summary
lymphatic,lymphatic
initial physical examination,initial physical examination
in the ed,in the ed
past obstetrical history,past obstetrical history
cause of death,cause of death
estimated blood loss,estimated blood loss
dtrs,dtrs
strength,strength
exam upon discharge,exam upon discharge
please call us immediately for any of the following problems,please call us immediately for any of the following problems
description of procedure,description of procedure
radiologic data,radiologic data
cad,cad
procedure in detail,procedure in detail
laboratory values on admission,laboratory values on admission
procedures performed,procedures performed
ct pelvis with contrast,ct pelvis with contrast
ct of the chest with iv contrast,ct of the chest with iv contrast
hypothyroidism,hypothyroidism
surgical history,surgical history
chronic diagnoses,chronic diagnoses
ct abdomen with iv contrast,ct abdomen with iv contrast
procedure performed,procedure performed
kub,kub
ct reconstructions,ct reconstructions
mri brain,mri brain
note added at attending review,note added at attending review
renal ultrasound,renal ultrasound
addendum to hospital course,addendum to hospital course
please call to schedule appointments with your,please call to schedule appointments with your
note added in attending review,note added in attending review
radiographic studies,radiographic studies
ct perfusion,ct perfusion
cath,cath
post_bypass,post_bypass
of note,of note
recommended followup,recommended followup
romberg,romberg
electrolytes,electrolytes
the following changes were made to your medication regimen,the following changes were made to your medication regimen
discharge plans,discharge plans
ct of the pelvis with contrast,ct of the pelvis with contrast
respiratory failure,respiratory failure
